car,person,frame,total,motorcycle,truck,kite,horse,bench,bus
7,1,1,9,0,0,0,0,0,0
7,1,2,10,0,0,0,0,0,0
7,1,3,11,0,0,0,0,0,0
8,1,4,13,0,0,0,0,0,0
7,1,5,14,1,0,0,0,0,0
6,1,6,14,0,1,0,0,0,0
7,1,7,16,0,1,0,0,0,0
8,0,8,17,0,1,0,0,0,0
6,1,9,17,0,1,0,0,0,0
7,1,10,19,0,1,0,0,0,0
6,2,11,20,0,1,0,0,0,0
7,1,12,21,0,1,0,0,0,0
6,1,13,21,0,1,0,0,0,0
7,1,14,23,0,1,0,0,0,0
9,2,15,27,0,1,0,0,0,0
7,2,16,25,0,0,0,0,0,0
9,2,17,28,0,0,0,0,0,0
8,2,18,28,0,0,0,0,0,0
7,1,19,27,0,0,0,0,0,0
8,2,20,30,0,0,0,0,0,0
8,2,21,31,0,0,0,0,0,0
8,2,22,32,0,0,0,0,0,0
7,1,23,32,0,1,0,0,0,0
8,2,24,34,0,0,0,0,0,0
8,2,25,35,0,0,0,0,0,0
8,2,26,37,0,1,0,0,0,0
8,2,27,38,0,1,0,0,0,0
9,2,28,40,0,1,0,0,0,0
7,2,29,39,0,1,0,0,0,0
7,2,30,40,0,1,0,0,0,0
8,2,31,42,0,1,0,0,0,0
8,2,32,42,0,0,0,0,0,0
8,2,33,43,0,0,0,0,0,0
8,2,34,45,0,1,0,0,0,0
7,2,35,45,0,1,0,0,0,0
7,2,36,46,0,1,0,0,0,0
8,2,37,48,0,1,0,0,0,0
7,2,38,47,0,0,0,0,0,0
7,2,39,48,0,0,0,0,0,0
6,2,40,50,1,1,0,0,0,0
6,3,41,51,1,0,0,0,0,0
7,3,42,53,1,0,0,0,0,0
5,4,43,53,1,0,0,0,0,0
6,2,44,54,1,0,1,0,0,0
6,3,45,56,1,0,1,0,0,0
5,2,46,55,1,0,1,0,0,0
7,2,47,57,1,0,0,0,0,0
5,2,48,57,1,0,1,0,0,0
6,2,49,59,1,0,1,0,0,0
7,2,50,62,2,0,1,0,0,0
8,2,51,63,1,0,1,0,0,0
8,2,52,64,1,0,1,0,0,0
8,2,53,66,2,0,1,0,0,0
7,2,54,65,1,0,1,0,0,0
7,2,55,67,2,0,1,0,0,0
6,2,56,67,2,0,1,0,0,0
7,2,57,68,1,0,1,0,0,0
7,2,58,69,1,0,1,0,0,0
7,4,59,72,1,0,1,0,0,0
8,2,60,73,2,0,1,0,0,0
7,2,61,73,1,1,1,0,0,0
7,3,62,75,1,1,1,0,0,0
7,3,63,75,1,0,1,0,0,0
6,2,64,76,1,1,2,0,0,0
6,3,65,77,1,1,1,0,0,0
6,2,66,77,1,1,1,0,0,0
5,3,67,78,1,1,1,0,0,0
5,3,68,79,1,1,1,0,0,0
7,2,69,81,1,1,1,0,0,0
6,2,70,81,1,1,1,0,0,0
5,5,71,84,1,1,1,0,0,0
6,2,72,83,1,1,1,0,0,0
6,2,73,83,0,1,1,0,0,0
6,4,74,86,1,1,0,0,0,0
7,3,75,87,1,1,0,0,0,0
8,3,76,89,1,1,0,0,0,0
6,3,77,88,1,1,0,0,0,0
6,3,78,89,1,1,0,0,0,0
6,2,79,89,1,0,1,0,0,0
6,2,80,90,1,0,1,0,0,0
5,1,81,89,1,0,1,0,0,0
6,2,82,92,1,0,1,0,0,0
6,3,83,94,1,1,0,0,0,0
5,3,84,94,1,0,1,0,0,0
5,4,85,96,1,0,1,0,0,0
5,2,86,95,1,0,1,0,0,0
5,3,87,98,2,0,1,0,0,0
5,4,88,98,1,0,0,0,0,0
5,2,89,98,2,0,0,0,0,0
5,4,90,101,2,0,0,0,0,0
5,5,91,103,2,0,0,0,0,0
5,2,92,101,2,0,0,0,0,0
5,2,93,102,2,0,0,0,0,0
6,3,94,106,3,0,0,0,0,0
5,3,95,105,2,0,0,0,0,0
4,8,96,111,2,0,0,1,0,0
4,4,97,108,3,0,0,0,0,0
5,3,98,110,3,0,0,1,0,0
6,3,99,112,4,0,0,0,0,0
5,3,100,111,3,0,0,0,0,0
4,3,101,112,4,0,0,0,0,0
4,6,102,116,3,0,0,1,0,0
4,6,103,116,3,0,0,0,0,0
6,5,104,118,3,0,0,0,0,0
6,5,105,119,3,0,0,0,0,0
6,4,106,120,4,0,0,0,0,0
7,4,107,120,2,0,0,0,0,0
6,5,108,123,3,0,0,0,1,0
5,5,109,122,3,0,0,0,0,0
5,7,110,123,1,0,0,0,0,0
5,5,111,123,2,0,0,0,0,0
5,5,112,124,2,0,0,0,0,0
6,6,113,128,3,0,0,0,0,0
3,6,114,127,4,0,0,0,0,0
2,8,115,128,3,0,0,0,0,0
4,7,116,132,5,0,0,0,0,0
2,7,117,130,4,0,0,0,0,0
4,6,118,130,2,0,0,0,0,0
3,5,119,131,4,0,0,0,0,0
2,6,120,132,4,0,0,0,0,0
2,5,121,132,4,0,0,0,0,0
2,5,122,132,3,0,0,0,0,0
2,5,123,132,2,0,0,0,0,0
3,6,124,136,3,0,0,0,0,0
3,5,125,136,3,0,0,0,0,0
5,5,126,138,2,0,0,0,0,0
4,5,127,137,1,0,0,0,0,0
5,4,128,138,1,0,0,0,0,0
5,4,129,141,2,1,0,0,0,0
5,3,130,141,2,1,0,0,0,0
5,3,131,141,1,1,0,0,0,0
6,3,132,144,2,1,0,0,0,0
5,3,133,146,3,2,0,0,0,0
5,3,134,145,2,1,0,0,0,0
5,4,135,147,2,1,0,0,0,0
5,3,136,147,2,1,0,0,0,0
5,3,137,147,1,1,0,0,0,0
4,3,138,150,4,1,0,0,0,0
4,3,139,151,4,1,0,0,0,0
5,3,140,152,3,1,0,0,0,0
4,3,141,152,3,1,0,0,0,0
5,3,142,153,2,1,0,0,0,0
3,4,143,153,3,0,0,0,0,0
3,3,144,154,4,0,0,0,0,0
5,3,145,157,3,1,0,0,0,0
5,3,146,159,4,1,0,0,0,0
4,3,147,159,4,1,0,0,0,0
5,4,148,161,3,1,0,0,0,0
5,3,149,161,3,1,0,0,0,0
3,3,150,160,3,1,0,0,0,0
3,4,151,163,4,1,0,0,0,0
4,4,152,163,2,1,0,0,0,0
4,2,153,162,2,1,0,0,0,0
3,3,154,164,3,1,0,0,0,0
3,2,155,166,4,2,0,0,0,0
4,4,156,167,2,1,0,0,0,0
4,3,157,167,1,2,0,0,0,0
4,3,158,168,1,2,0,0,0,0
4,3,159,169,2,1,0,0,0,0
3,3,160,169,1,2,0,0,0,0
4,3,161,171,2,1,0,0,0,0
4,3,162,172,2,1,0,0,0,0
4,3,163,173,2,1,0,0,0,0
4,4,164,174,1,1,0,0,0,0
3,3,165,176,4,1,0,0,0,0
2,3,166,175,3,1,0,0,0,0
3,4,167,176,1,1,0,0,0,0
3,3,168,175,0,1,0,0,0,0
2,3,169,175,0,1,0,0,0,0
2,3,170,177,1,1,0,0,0,0
2,2,171,178,2,1,0,0,0,0
2,3,172,180,2,1,0,0,0,0
2,3,173,181,2,1,0,0,0,0
3,3,174,183,2,1,0,0,0,0
3,3,175,184,2,1,0,0,0,0
5,2,176,185,1,1,0,0,0,0
5,3,177,187,1,1,0,0,0,0
6,2,178,187,0,1,0,0,0,0
7,2,179,190,1,1,0,0,0,0
3,3,180,188,1,1,0,0,0,0
4,3,181,190,1,1,0,0,0,0
6,3,182,193,1,1,0,0,0,0
5,2,183,192,1,1,0,0,0,0
6,2,184,194,1,1,0,0,0,0
7,2,185,195,0,1,0,0,0,0
5,2,186,194,0,1,0,0,0,0
7,2,187,197,0,1,0,0,0,0
7,2,188,198,0,1,0,0,0,0
4,2,189,196,0,1,0,0,0,0
5,2,190,198,0,1,0,0,0,0
6,3,191,201,0,1,0,0,0,0
7,2,192,204,1,1,0,0,0,1
6,2,193,202,0,0,0,0,0,1
5,2,194,204,1,1,0,0,0,1
7,2,195,206,2,0,0,0,0,0
6,2,196,206,2,0,0,0,0,0
8,2,197,207,0,0,0,0,0,0
7,2,198,208,1,0,0,0,0,0
5,3,199,208,1,0,0,0,0,0
6,3,200,209,0,0,0,0,0,0
5,3,201,209,0,0,0,0,0,0
6,3,202,211,0,0,0,0,0,0
6,2,203,212,1,0,0,0,0,0
5,2,204,211,0,0,0,0,0,0
6,2,205,213,0,0,0,0,0,0
5,2,206,213,0,0,0,0,0,0
7,2,207,217,0,1,0,0,0,0
6,2,208,218,1,1,0,0,0,0
6,2,209,219,2,0,0,0,0,0
5,2,210,220,3,0,0,0,0,0
5,2,211,219,0,1,0,0,0,0
6,2,212,221,0,1,0,0,0,0
6,2,213,223,1,1,0,0,0,0
8,2,214,227,2,1,0,0,0,0
8,2,215,229,3,1,0,0,0,0
7,2,216,226,1,0,0,0,0,0
7,2,217,229,3,0,0,0,0,0
5,2,218,228,3,0,0,0,0,0
6,2,219,228,1,0,0,0,0,0
6,2,220,231,2,1,0,0,0,0
6,2,221,232,3,0,0,0,0,0
6,2,222,232,2,0,0,0,0,0
5,2,223,232,2,0,0,0,0,0
6,2,224,234,2,0,0,0,0,0
6,2,225,236,2,1,0,0,0,0
6,2,226,237,2,1,0,0,0,0
5,2,227,237,2,1,0,0,0,0
5,2,228,238,2,1,0,0,0,0
5,3,229,238,1,0,0,0,0,0
7,2,230,240,1,0,0,0,0,0
7,2,231,241,1,0,0,0,0,0
5,2,232,241,2,0,0,0,0,0
6,3,233,243,1,0,0,0,0,0
6,3,234,245,1,0,0,1,0,0
7,2,235,245,1,0,0,0,0,0
5,3,236,246,1,0,0,1,0,0
6,3,237,248,2,0,0,0,0,0
7,4,238,251,2,0,0,0,0,0
