bus,car,person,truck,motorcycle,frame,total,traffic light
5,14,6,1,2,1,29,0
5,15,9,1,1,2,33,0
5,16,6,0,0,3,30,0
4,16,7,2,1,4,34,0
4,18,5,0,2,5,34,0
4,17,6,0,2,6,35,0
4,17,7,0,0,7,35,0
3,16,8,0,1,8,36,0
3,15,6,0,1,9,34,0
3,12,7,0,2,10,34,0
3,15,7,0,3,11,39,0
4,14,7,1,1,12,39,0
5,13,5,0,1,13,37,0
4,15,4,0,1,14,39,1
4,14,4,0,1,15,39,1
3,14,4,0,2,16,39,0
3,15,1,0,1,17,37,0
4,14,3,0,1,18,40,0
4,15,3,0,1,19,42,0
6,11,5,0,1,20,43,0
5,12,4,0,1,21,43,0
4,14,3,0,1,22,44,0
4,15,6,0,1,23,49,0
4,15,5,0,1,24,49,0
4,15,5,0,1,25,50,0
3,15,6,0,1,26,51,0
3,15,4,0,1,27,50,0
3,19,3,1,1,28,55,0
4,16,3,1,1,29,54,0
4,16,6,0,1,30,57,0
3,14,3,1,1,31,53,0
2,15,1,1,1,32,52,0
3,16,4,1,1,33,58,0
2,13,4,0,1,34,54,0
3,13,4,1,1,35,57,0
3,12,4,1,0,36,56,0
3,15,2,1,0,37,58,0
3,14,4,1,0,38,60,0
3,13,3,1,0,39,59,0
3,15,4,2,0,40,64,0
3,12,5,1,1,41,63,0
4,14,5,1,0,42,66,0
4,14,4,1,3,43,69,0
4,13,4,1,3,44,69,0
4,12,3,1,2,45,67,0
3,15,3,1,1,46,69,0
3,10,2,0,2,47,64,0
5,12,3,0,2,48,70,0
4,13,3,0,2,49,71,0
3,12,2,0,2,50,69,0
2,14,3,0,2,51,72,0
3,15,3,1,3,52,77,0
3,14,4,3,2,53,79,0
3,15,5,2,2,54,81,0
1,15,3,2,2,55,78,0
2,12,4,2,3,56,79,0
4,13,2,1,1,57,78,0
3,12,2,0,3,58,78,0
3,10,2,0,2,59,76,0
4,11,3,0,0,60,78,0
5,12,3,0,0,61,81,0
5,12,4,1,0,62,84,0
5,12,2,0,0,63,82,0
4,14,4,1,0,64,87,0
4,16,4,0,0,65,89,0
4,16,3,0,0,66,89,0
3,17,4,0,0,67,91,0
3,16,5,1,0,68,93,0
3,18,7,1,0,69,98,0
3,15,5,2,0,70,95,0
3,15,5,3,0,71,97,0
3,14,5,2,0,72,96,0
3,14,4,2,0,73,96,0
4,12,5,3,0,74,98,0
5,14,5,2,0,75,101,0
4,14,3,1,0,76,98,0
4,14,3,1,0,77,99,0
4,14,5,2,0,78,103,0
4,14,5,1,0,79,103,0
3,14,5,2,0,80,104,0
3,14,4,1,0,81,103,0
3,14,2,1,0,82,102,0
4,14,4,1,1,83,107,0
4,14,4,1,2,84,109,0
5,14,4,1,0,85,109,0
5,13,5,1,1,86,111,0
3,13,2,2,1,87,108,0
3,12,2,1,0,88,106,0
4,14,2,0,0,89,109,0
5,17,3,0,0,90,115,0
4,15,1,2,0,91,113,0
5,14,2,2,0,92,115,0
4,15,2,0,0,93,114,0
5,15,2,1,0,94,117,0
3,16,1,1,0,95,116,0
3,15,3,1,0,96,118,0
3,14,1,2,0,97,117,0
2,15,1,1,0,98,117,0
3,18,2,1,0,99,123,0
3,18,3,1,0,100,125,0
4,18,3,1,0,101,127,0
4,17,3,0,0,102,126,0
3,19,3,0,1,103,129,0
3,19,3,0,0,104,129,0
3,18,3,0,0,105,129,0
3,18,1,0,0,106,128,0
3,20,1,0,0,107,131,0
3,19,2,0,0,108,132,0
3,19,2,0,0,109,133,0
3,16,2,0,0,110,131,0
5,19,5,0,0,111,140,0
3,23,4,0,0,112,142,0
4,19,5,0,0,113,141,0
3,18,5,0,0,114,140,0
3,19,5,0,0,115,142,0
3,22,3,0,1,116,145,0
3,18,4,0,0,117,142,0
3,19,5,0,0,118,145,0
3,19,6,0,0,119,147,0
3,18,4,0,0,120,145,0
3,18,5,0,0,121,147,0
3,18,3,0,0,122,146,0
3,19,4,0,0,123,149,0
3,18,4,0,0,124,149,0
3,17,6,0,0,125,151,0
4,17,4,0,0,126,151,0
3,18,5,0,0,127,153,0
3,18,6,0,0,128,155,0
3,19,4,0,0,129,155,0
3,20,4,0,0,130,157,0
4,17,5,0,0,131,157,0
5,18,3,0,0,132,158,0
4,18,4,0,0,133,159,0
4,20,4,0,0,134,162,0
3,18,3,0,0,135,159,0
4,19,3,0,0,136,162,0
3,19,2,1,0,137,162,0
3,17,5,2,0,138,165,0
4,15,3,1,0,139,162,0
4,17,5,0,0,140,166,0
3,15,2,0,0,141,161,0
4,19,2,0,0,142,167,0
4,19,3,0,0,143,169,0
4,16,3,0,0,144,167,0
4,18,3,1,0,145,171,0
4,17,2,0,1,146,170,0
4,15,3,0,0,147,169,0
4,17,3,0,0,148,172,0
4,18,4,0,0,149,175,0
4,19,4,0,1,150,178,0
4,20,4,0,0,151,179,0
3,17,5,0,0,152,177,0
3,20,5,0,0,153,181,0
3,18,6,0,1,154,182,0
3,20,4,0,0,155,182,0
3,20,3,0,0,156,182,0
4,21,2,0,0,157,184,0
4,19,2,0,0,158,183,0
4,19,3,0,0,159,185,0
4,20,2,0,0,160,186,0
3,21,4,0,0,161,189,0
4,21,2,0,0,162,189,0
4,20,2,0,0,163,189,0
4,19,4,0,0,164,191,0
3,18,1,0,0,165,187,0
3,19,3,0,0,166,191,0
4,18,1,0,0,167,190,0
5,19,1,1,0,168,194,0
5,19,1,0,0,169,194,0
4,22,1,0,0,170,197,0
4,20,0,0,0,171,195,0
4,20,1,0,0,172,197,0
4,20,1,0,0,173,198,0
4,19,1,0,0,174,198,0
3,20,0,1,0,175,199,0
4,19,1,1,0,176,201,0
3,19,3,1,0,177,203,0
3,18,3,1,0,178,203,0
3,19,2,1,0,179,204,0
3,18,1,1,0,180,203,0
3,19,1,1,0,181,205,0
3,16,1,0,0,182,202,0
5,16,1,0,0,183,205,0
5,17,1,1,0,184,208,0
5,16,1,1,0,185,208,0
4,19,2,0,0,186,211,0
5,18,2,0,0,187,212,0
5,18,2,0,0,188,213,0
4,16,1,0,0,189,210,0
4,17,1,1,0,190,213,0
3,16,1,1,0,191,212,0
4,15,2,1,0,192,214,0
4,15,2,0,0,193,214,0
6,16,2,0,0,194,218,0
6,18,1,0,0,195,220,0
5,16,1,0,0,196,218,0
4,16,1,0,0,197,218,0
4,17,1,1,0,198,221,0
3,14,2,1,0,199,219,0
2,17,3,0,0,200,222,0
3,17,2,0,0,201,223,0
4,15,3,0,1,202,225,0
2,17,3,0,0,203,225,0
2,20,3,0,0,204,229,0
3,13,4,0,0,205,225,0
2,16,4,0,0,206,228,0
2,19,1,0,0,207,229,0
2,18,2,0,0,208,230,0
2,17,5,0,0,209,233,0
2,19,3,0,0,210,234,0
2,15,1,0,0,211,229,0
2,17,2,0,0,212,233,0
2,17,3,0,0,213,235,0
2,17,4,0,0,214,237,0
4,16,5,0,0,215,240,0
4,17,2,1,0,216,240,0
4,17,5,0,0,217,243,0
3,16,5,0,0,218,242,0
4,21,4,0,0,219,248,0
3,17,5,0,0,220,245,0
2,17,5,0,0,221,245,0
2,19,5,0,1,222,249,0
2,16,5,1,1,223,248,0
2,18,6,1,0,224,251,0
3,17,4,1,1,225,251,0
2,17,5,1,1,226,252,0
2,17,5,1,1,227,253,0
2,14,5,1,0,228,250,0
2,16,4,1,0,229,252,0
2,18,5,1,0,230,256,0
2,17,3,0,1,231,254,0
2,16,4,0,1,232,255,0
2,16,5,0,2,233,258,0
2,17,5,1,2,234,261,0
2,18,4,1,0,235,260,0
2,15,4,0,3,236,260,0
3,15,4,0,0,237,259,0
3,17,3,0,0,238,261,0
2,15,4,0,1,239,261,0
3,17,6,0,4,240,270,0
2,19,6,0,1,241,269,0
4,17,7,0,1,242,271,0
3,19,8,0,0,243,273,0
3,19,9,0,0,244,275,0
3,17,8,0,0,245,273,0
4,17,8,0,2,246,277,0
4,19,7,1,2,247,280,0
5,17,8,0,2,248,280,0
3,19,7,0,5,249,283,0
3,18,9,0,2,250,282,0
4,19,8,0,1,251,283,0
3,20,8,1,1,252,285,0
3,20,9,0,2,253,287,0
3,19,9,0,2,254,287,0
3,18,9,1,3,255,289,0
4,18,8,0,0,256,286,0
3,18,10,1,2,257,291,0
3,18,8,0,3,258,290,0
4,18,7,1,0,259,289,0
4,18,8,1,1,260,292,0
4,18,7,1,1,261,292,0
3,18,8,0,1,262,292,0
3,18,7,0,2,263,293,0
3,17,9,0,0,264,293,0
3,18,9,0,0,265,295,0
3,19,9,0,1,266,298,0
3,20,9,0,2,267,301,0
2,21,9,1,0,268,301,0
3,19,10,1,3,269,305,0
3,19,9,2,3,270,306,0
3,17,8,2,2,271,303,0
3,20,8,2,4,272,309,0
4,19,7,1,3,273,307,0
3,19,9,1,2,274,308,0
3,18,7,1,2,275,306,0
3,18,7,1,2,276,307,0
3,19,6,2,1,277,308,0
3,20,6,2,1,278,310,0
2,20,5,2,2,279,310,0
3,19,5,3,3,280,313,0
3,21,5,2,3,281,315,0
3,19,5,2,3,282,314,0
4,20,7,2,3,283,319,0
