car,bus,truck,person,frame,total,motorcycle,traffic light
17,4,2,1,1,25,0,0
17,4,2,1,2,26,0,0
19,4,2,1,3,29,0,0
19,4,2,1,4,30,0,0
20,4,2,1,5,32,0,0
20,4,1,1,6,32,0,0
19,4,0,1,7,31,0,0
19,4,0,1,8,32,0,0
19,4,2,1,9,35,0,0
19,4,2,1,10,36,0,0
19,4,0,1,11,35,0,0
22,4,1,1,12,40,0,0
20,4,1,1,13,39,0,0
17,4,0,1,14,36,0,0
17,4,0,1,15,37,0,0
18,4,0,1,16,39,0,0
16,4,0,1,17,38,0,0
17,4,0,1,18,40,0,0
16,4,1,1,19,41,0,0
17,4,2,1,20,44,0,0
16,4,2,1,21,44,0,0
17,4,1,1,22,45,0,0
17,4,1,1,23,46,0,0
18,4,2,1,24,49,0,0
16,4,1,1,25,47,0,0
17,4,0,1,26,48,0,0
17,4,1,1,27,50,0,0
19,4,1,1,28,53,0,0
19,4,1,1,29,54,0,0
18,4,1,1,30,54,0,0
17,4,1,1,31,54,0,0
17,4,1,1,32,55,0,0
19,4,1,0,33,57,0,0
17,4,1,0,34,56,0,0
18,4,2,0,35,59,0,0
17,5,2,0,36,60,0,0
16,4,2,0,37,59,0,0
17,4,2,0,38,61,0,0
16,4,2,0,39,61,0,0
16,5,2,0,40,63,0,0
16,5,1,0,41,63,0,0
17,5,1,0,42,65,0,0
17,5,1,0,43,66,0,0
16,5,1,0,44,66,0,0
16,5,1,0,45,67,0,0
17,4,0,0,46,67,0,0
16,4,0,0,47,67,0,0
19,4,0,0,48,71,0,0
20,4,1,0,49,74,0,0
20,4,1,0,50,75,0,0
18,4,1,0,51,74,0,0
21,4,2,0,52,79,0,0
18,5,0,0,53,76,0,0
18,4,0,0,54,76,0,0
17,4,0,0,55,76,0,0
16,4,0,0,56,76,0,0
16,4,1,0,57,78,0,0
16,4,1,0,58,79,0,0
15,4,1,0,59,79,0,0
16,4,0,0,60,80,0,0
17,4,1,0,61,83,0,0
17,5,1,0,62,85,0,0
19,5,1,0,63,88,0,0
19,5,1,0,64,89,0,0
18,6,0,0,65,89,0,0
19,6,2,0,66,93,0,0
18,5,2,0,67,92,0,0
18,5,2,0,68,93,0,0
17,5,1,0,69,92,0,0
17,5,1,0,70,93,0,0
16,4,1,0,71,92,0,0
18,5,0,0,72,95,0,0
17,5,1,0,73,96,0,0
20,5,0,0,74,99,0,0
18,5,0,0,75,98,0,0
16,5,0,0,76,97,0,0
18,5,0,0,77,100,0,0
19,5,1,0,78,103,0,0
19,5,0,0,79,103,0,0
19,5,0,0,80,104,0,0
18,5,0,0,81,104,0,0
18,4,0,0,82,104,0,0
